added_timestamp,finished_experiment,group,is_cs,user_experiment_id,item_id,cold_start_movies,rating,recommended_movies,budget_inf,popularity_inf,movie_from_calibration,movie_selected
1668820901,,1,FALSE,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,,,,,,,,
1668821108,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt0861689,,,,M,T,,Ensaio Sobre a Cegueira (2008)
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,3943, ,,As Branquelas (2004),M,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,1441,,,Tarzan (1999),H,M,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,5818,,,A Proposta (2009),M,M,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,5349,,,O Cheiro do Ralo (2006),T,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,6311,,,Demônio (2010),M,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,3755,,,Carandiru (2003),T,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,1293,,,Patch Adams: O Amor é Contagioso (1998),H,M,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,5630,,,Ensaio Sobre a Cegueira (2008),M,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,6421,,,Caça às Bruxas (2011),M,T,FALSE,
1668821056,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,5802,,,Arraste-me Para o Inferno (2009),M,T,TRUE,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt1790864,Maze Runner: Correr ou Morrer (2014),4,,M,M,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt2464018,Minha Mãe é uma Peça: O Filme (2013),5,,T,T,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt1104001,Tron: O Legado (2010),4,,H,M,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt1661199,Cinderela (2015),5,,H,T,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt0385880,A Casa Monstro (2006),5,,H,T,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt1103153,Par Perfeito (2010),4,,H,T,,
1668821054,,,,0078f5ea-95b7-421b-b0c7-dfa59f9b07c1,tt1229238,Missão: Impossível - Protocolo Fantasma (2011),4,,H,M,,
1668650330,,1,FALSE,00e0b1ae-03fe-4acb-a314-0dc99b34aa5c,,,,,,,,
1668650486,,,,00e0b1ae-03fe-4acb-a314-0dc99b34aa5c,tt0421994,,,,M,T,,Imagine Eu e Você (2005)
1668650425,,,,00e0b1ae-03fe-4acb-a314-0dc99b34aa5c,7173,,,Invasão à Casa Branca (2013),H,T,FALSE,
