id,added_timestamp,user_experiment_id,group,item_id,rating,title,popularity_int,popularity_budget_inf
535,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt1591095,1,Sobrenatural (2010),T,T
533,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt1586265,2,O Que Esperar Quando Você Está Esperando (2012),T,M
531,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt1498858,1,Ocean Heaven (2010),T,T
534,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt2216240,2,Sequestro (2012),T,T
537,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt1229381,3,Fora da Lei (2010),T,M
532,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt1001526,4,Megamente (2010),M,H
536,1680493663,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,tt2301592,1,A Dança da Realidade (2013),T,T
721,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1586265,3,O Que Esperar Quando Você Está Esperando (2012),T,M
722,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1001526,4,Megamente (2010),M,H
724,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1790864,4,Maze Runner: Correr ou Morrer (2014),M,M
723,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1103153,5,Par Perfeito (2010),T,H
726,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt2464018,5,Minha Mãe é uma Peça: O Filme (2013),T,T
727,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1905041,4,Velozes & Furiosos 6 (2013),T,H
728,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1080016,5,A Era do Gelo 3 (2009),T,H
725,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt1055292,5,Juntos Pelo Acaso (2010),T,M
729,1680528291,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,tt0120855,4,Tarzan (1999),M,H
496,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt1001526,5,Megamente (2010),M,H
495,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt1080016,5,A Era do Gelo 3 (2009),T,H
491,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt1661199,4,Cinderela (2015),T,H
494,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt0385880,4,A Casa Monstro (2006),T,H
490,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt1055292,4,Juntos Pelo Acaso (2010),T,M
493,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt0087544,3,Nausicaä do Vale do Vento (1984),M,T
492,1680824505,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,tt1568921,4,O Mundo dos Pequeninos (2010),T,M
2046,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1001526,5,Megamente (2010),M,H
2045,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1591095,5,Sobrenatural (2010),T,T
2047,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1586265,5,O Que Esperar Quando Você Está Esperando (2012),T,M
2044,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1216475,5,Carros 2 (2011),T,H
2052,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1559547,5,Dezesseis Luas (2013),T,H
2048,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1538403,5,Os Instrumentos Mortais: Cidade dos Ossos (2013),T,H
2049,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt0800369,5,Thor (2011),M,H
2051,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt1623205,5,Oz: Mágico e Poderoso (2013),T,H
2050,1680471409,01884a41-6cec-434e-80c1-6b711b9f401c,3,tt2369135,5,Need for Speed: O Filme (2014),T,H
317,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt1790864,5,Maze Runner: Correr ou Morrer (2014),M,M
315,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt0304141,5,Harry Potter e o Prisioneiro de Azkaban (2004),M,H
313,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt0338013,5,Brilho Eterno de uma Mente sem Lembranças (2004),H,M
314,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt0109830,5,Forrest Gump: O Contador de Histórias (1994),H,H
316,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt1457767,5,Invocação do Mal (2013),T,M
318,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt0848228,5,Os Vingadores: The Avengers (2012),M,H
319,1680461320,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,tt0281358,5,Um Amor para Recordar (2002),T,M
1116,1679824070,022b0727-abba-498e-b76e-ac553df35658,2,tt1080016,5,A Era do Gelo 3 (2009),T,H
1117,1679824070,022b0727-abba-498e-b76e-ac553df35658,2,tt1568921,4,O Mundo dos Pequeninos (2010),T,M
1115,1679824070,022b0727-abba-498e-b76e-ac553df35658,2,tt0385880,5,A Casa Monstro (2006),T,H
1120,1679824070,022b0727-abba-498e-b76e-ac553df35658,2,tt0328880,5,Irmão Urso (2003),T,H
