id,added_timestamp,user_id,experiment_type,item_id,movie_from_calibration,popularity,budget,title,selected,position
598,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,5485,FALSE,M,H,Kung Fu Panda (2008),TRUE,4
592,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,6222,FALSE,M,H,Meu Malvado Favorito (2010),FALSE,1
594,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,5659,FALSE,T,M,Che: O Argentino (2008),FALSE,2
596,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,7136,FALSE,T,T,Lore (2012),FALSE,3
600,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,679,FALSE,M,M,Os Gritos do Silêncio (1984),FALSE,5
591,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,4864,FALSE,M,M,O Diabo Veste Prada (2006),FALSE,1
593,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,5080,FALSE,T,M,Dias de Glória (2006),FALSE,2
595,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,2387,FALSE,T,M,Salvador - O Martírio de um Povo (1986),FALSE,3
597,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,6335,FALSE,T,M,Em Um Mundo Melhor (2010),FALSE,4
599,1680493665,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,6366,FALSE,M,H,Enrolados (2010),FALSE,5
838,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,1293,FALSE,M,H,Patch Adams: O Amor é Contagioso (1998),TRUE,5
831,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,3943,FALSE,T,M,As Branquelas (2004),FALSE,6
833,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,5349,FALSE,T,T,O Cheiro do Ralo (2006),FALSE,7
835,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,7253,FALSE,M,H,Meu Malvado Favorito 2 (2013),FALSE,8
837,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,6520,FALSE,T,H,Velozes & Furiosos 5: Operação Rio (2011),FALSE,9
839,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,3755,FALSE,T,T,Carandiru (2003),FALSE,10
832,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,5818,FALSE,M,M,A Proposta (2009),FALSE,2
834,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,6311,FALSE,T,M,Demônio (2010),FALSE,3
836,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,6477,FALSE,T,H,Esposa de Mentirinha (2011),FALSE,4
840,1680528292,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,5630,FALSE,T,M,Ensaio Sobre a Cegueira (2008),FALSE,6
598,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,7294,TRUE,T,M,Vidas ao Vento (2013),TRUE,4
591,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,5685,FALSE,T,M,Ponyo - Uma Amizade que Veio do Mar (2008),FALSE,1
593,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,6916,FALSE,T,H,A Era do Gelo 4 (2012),FALSE,2
595,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,7832,FALSE,T,M,Caminhos da Floresta (2014),FALSE,3
597,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,7559,TRUE,T,H,Malévola (2014),FALSE,4
599,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,4248,FALSE,M,M,O Serviço de Entregas da Kiki (1989),FALSE,5
592,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,4792,FALSE,M,H,A Era do Gelo 2 (2006),FALSE,1
594,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,5628,FALSE,T,H,Madagascar 2: A Grande Escapada (2008),FALSE,2
596,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,3271,FALSE,M,M,O Castelo no Céu (1986),FALSE,3
600,1680824506,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,7050,TRUE,T,H,A Origem dos Guardiões (2012),FALSE,5
2457,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7296,TRUE,T,H,Os Instrumentos Mortais: Cidade dos Ossos (2013),TRUE,8
2451,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,6582,FALSE,M,H,Capitão América: O Primeiro Vingador (2011),FALSE,2
2452,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,4855,FALSE,M,H,Carros (2006),FALSE,3
2453,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7179,FALSE,T,M,A Hospedeira (2013),FALSE,4
2454,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,6999,FALSE,T,T,A Entidade (2012),FALSE,5
2455,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7283,FALSE,T,H,Percy Jackson e o Mar de Monstros (2013),FALSE,6
2456,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7139,TRUE,T,H,Dezesseis Luas (2013),FALSE,7
2458,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7379,FALSE,M,H,Thor: O Mundo Sombrio (2013),FALSE,9
2459,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,6222,FALSE,M,H,Meu Malvado Favorito (2010),FALSE,10
2460,1680471410,01884a41-6cec-434e-80c1-6b711b9f401c,3,7559,TRUE,T,H,Malévola (2014),FALSE,1
393,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,2682,TRUE,H,M,O Fabuloso Destino de Amélie Poulain (2001),TRUE,3
391,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,3056,FALSE,M,H,Harry Potter e a Câmara Secreta (2002),FALSE,1
395,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,7880,FALSE,T,T,Corrente do Mal (2014),FALSE,5
397,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,4073,TRUE,H,H,Os Incríveis (2004),FALSE,7
399,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,6999,TRUE,T,T,A Entidade (2012),FALSE,9
392,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,6487,FALSE,T,T,Sobrenatural (2010),FALSE,2
394,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,4700,FALSE,M,H,Harry Potter e o Cálice de Fogo (2005),FALSE,4
396,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,2642,FALSE,M,H,Harry Potter e a Pedra Filosofal (2001),FALSE,6
398,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,6844,FALSE,M,M,O Segredo da Cabana (2012),FALSE,8
400,1680461321,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,859,TRUE,H,H,O Show de Truman: O Show da Vida (1998),FALSE,10
1342,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,7203,FALSE,T,M,Todo Mundo em Pânico 5 (2013),TRUE,1
1341,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,5326,FALSE,T,H,Alvin e os Esquilos (2007),FALSE,6
1343,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,4792,FALSE,M,H,A Era do Gelo 2 (2006),FALSE,7
1345,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,5685,FALSE,T,M,Ponyo - Uma Amizade que Veio do Mar (2008),FALSE,8
1347,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,6916,FALSE,T,H,A Era do Gelo 4 (2012),FALSE,9
1349,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,2867,FALSE,T,H,Spirit: O Corcel Indomável (2002),FALSE,10
1344,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,7531,FALSE,T,T,Inatividade Paranormal 2 (2014),FALSE,2
1346,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,5628,FALSE,T,H,Madagascar 2: A Grande Escapada (2008),FALSE,3
1348,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,6755,FALSE,T,H,Alvin e os Esquilos 3 (2011),FALSE,4
1350,1679824071,022b0727-abba-498e-b76e-ac553df35658,2,3083,FALSE,T,H,Planeta do Tesouro (2002),FALSE,5
437,1680485468,02c1bfef-a927-437a-9ba2-427d780b631d,3,6222,FALSE,M,H,Meu Malvado Favorito (2010),TRUE,9
431,1680485468,02c1bfef-a927-437a-9ba2-427d780b631d,3,941,FALSE,M,H,Mulan (1998),FALSE,6
