id,added_timestamp,user_id,experiment_type,movie_selected,popularity_int,popularity_budget_inf,imdb,from_calibration
58,1680493733,003d48b2-644a-4d45-8c9a-16fa014c63c6,0,Kung Fu Panda (2008),M,H,tt0441773,FALSE
82,1680528352,009bf3a0-296a-4345-85be-e6fa024d9cb7,4,Patch Adams: O Amor é Contagioso (1998),M,H,tt0129290,FALSE
59,1680824598,01351f2d-7931-4dc8-b4ea-b670a087c89e,2,Vidas ao Vento (2013),T,M,tt2013293,TRUE
242,1680471453,01884a41-6cec-434e-80c1-6b711b9f401c,3,Os Instrumentos Mortais: Cidade dos Ossos (2013),T,H,tt1538403,TRUE
39,1680461367,01d15a9b-12d4-48f5-861f-d0dc714f64ef,4,O Fabuloso Destino de Amélie Poulain (2001),H,M,tt0211915,TRUE
135,1679824150,022b0727-abba-498e-b76e-ac553df35658,2,Todo Mundo em Pânico 5 (2013),T,M,,FALSE
42,1680485502,02c1bfef-a927-437a-9ba2-427d780b631d,3,Meu Malvado Favorito (2010),M,H,tt1323594,FALSE
148,1680465117,02f044f1-095f-45d3-87aa-f0a58772b09e,1,Che: O Argentino (2008),T,M,tt0892255,FALSE
24,1680819668,034a9236-4442-4770-b6b1-2dda765e77cd,1,Apenas Duas Noites (2014),T,T,tt2140619,TRUE
104,1680462664,0365cdbb-e6a8-48fe-b79c-73d9366694d3,3,Desejo e Reparação (2007),T,M,tt0783233,TRUE
44,1680461477,038fb863-ddf6-4873-b2e6-62efb1895049,0,Diário de uma Paixão (2004),M,M,tt0332280,FALSE
48,1680487300,04683bef-1995-41ca-a314-bf98212019e7,4,O Senhor das Armas (2005),M,H,tt0399295,FALSE
46,1679779931,048a0b29-7dd5-4454-be7e-09f37b670381,1,Philomena (2013),T,M,,TRUE
45,1680822614,050a9c4f-535a-4ca2-be0c-2e32f47f6392,3,A Proposta (2009),T,T,tt0421238,FALSE
30,1680461153,0520d67c-52b8-445b-aced-0d669d3ea705,0,Harry Potter e o Cálice de Fogo (2005),M,H,tt0330373,FALSE
65,1680461849,05a36045-7d5f-4be8-9126-9092bcd246de,5,Como Agarrar Meu Ex-Namorado (2012),T,M,tt1598828,FALSE
84,1680530088,05e111a0-3e6d-4bbe-a238-4982e1620251,0,Pokémon: O Filme 2000 - O Poder de Um (1999),T,M,tt0210234,FALSE
42,1679779698,06483068-8764-4ab9-9140-f13e4904f70c,1,Casa Comigo? (2010),T,M,,FALSE
212,1680469286,07507c00-3001-4658-9229-3427d94590e9,3,Amor e Outras Drogas (2010),T,M,tt0758752,FALSE
61,1679780669,076acda8-7215-4653-bdb8-e93ea5639c10,2,O Hobbit: Uma Jornada Inesperada (2012),M,H,,FALSE
115,1680463043,0793bc6b-a228-40d7-b0e6-62bf8cc0bf43,5,Meu Malvado Favorito (2010),M,H,tt1323594,FALSE
75,1680462017,07de0add-1abb-4b80-9db1-98412b2d0e1a,5,Batman: O Cavaleiro das Trevas Ressurge (2012),M,H,tt1345836,FALSE
67,1680461886,08cce154-4c9e-4431-a732-0d81ac413c43,5,Patch Adams: O Amor é Contagioso (1998),M,H,tt0129290,FALSE
2,1680459955,09bef67f-3627-47cd-9a8b-302b5ef07222,4,Um Homem de Sorte (2012),T,M,tt1327194,FALSE
121,1679797376,0a1770d0-2aae-47ea-b4b3-89193a3728e4,2,Pelos Olhos de Maisie (2013),T,T,,FALSE
5,1680473667,0b214e62-1090-4cfa-ba9a-323d7ff75220,4,O Cheiro do Ralo (2006),T,T,tt0489458,FALSE
9,1680460369,0b28af51-0dc9-4bd0-886c-c6e92dcc8125,0,Hércules (1997),T,H,tt1267297,FALSE
29,1680479475,0bf94ad7-888b-4c73-bd1c-d9f374a7201a,0,Um Dia (2011),T,M,tt1563738,FALSE
31,1680821184,0c6a86c5-cf8e-4ed7-b9c5-f59c62f679fc,2,A Era do Gelo 4 (2012),T,H,tt1667889,FALSE
225,1680470060,0d4a3433-a3dd-4d31-87b0-51b3728df18c,4,Emma (1996),M,M,tt0116191,FALSE
153,1679842295,0db42da8-6b45-4b31-95d0-784fea5a2156,2,Maníaco (2012),T,T,,TRUE
7,1680460210,0e67d4a6-8623-44d7-8109-4a88c6759789,5,Branca de Neve e o Caçador (2012),T,H,tt1735898,FALSE
224,1680470055,0ea60adf-c84f-4ddf-a4eb-97e8298980fa,0,Como Treinar o Seu Dragão (2010),M,H,tt0892769,FALSE
75,1679781781,1089a767-6ccb-4bce-92a8-d01112fc6596,2,Ensaio Sobre a Cegueira (2008),T,M,,FALSE
132,1680464164,10df0b30-7d90-4921-8a8c-e89be73cf4c4,4,Procura-se um Amigo para o Fim do Mundo (2012),T,M,tt1307068,TRUE
13,1680818190,11477b46-b865-41b0-94fe-132fe8a39b01,2,Rio (2011),T,H,tt1436562,FALSE
213,1680469320,12267126-b29e-442d-896c-ef9ea2b59de1,5,Ensaio Sobre a Cegueira (2008),T,M,tt0861689,FALSE
58,1680824140,1271c1ed-4a66-47ff-ab93-c787a07d9213,4,Invasão à Casa Branca (2013),T,H,tt2302755,FALSE
76,1680520791,12f87108-4fc4-4bc2-80d7-c7888ef56c47,3,O Espelho (2013),T,T,tt0072443,TRUE
27,1680478684,134be51c-9495-4278-babe-763b7e8f0791,0,Sempre ao Seu Lado (2009),T,M,tt1028532,FALSE
40,1680822350,13601543-649a-4b1b-bb06-076d49ebb5fe,5,Trainspotting: Sem Limites (1996),H,T,tt0117951,FALSE
23,1680460833,14b71917-9300-4abc-9790-62d4c085887f,5,Kingsman: Serviço Secreto (2015),M,H,tt2802144,FALSE
57,1680461752,15cf8220-70c4-4c5b-8d11-02edd2efc927,0,Pense como Eles (2012),T,M,tt1621045,FALSE
133,1680464171,15edc4a0-288c-465e-889f-edd8ca8545c2,0,Enrolados (2010),M,H,tt0398286,FALSE
20,1680818977,1679fe9b-839b-4c50-8dd7-5005a692f2fb,2,Hércules (1997),T,H,tt1267297,FALSE
126,1679801146,16b06c1b-acf6-46c6-83c4-2858f11fe174,2,Um Homem de Sorte (2012),T,M,,FALSE
196,1680467574,17547904-a5c8-4a82-bf00-910c8a4ee5ac,3,Malévola (2014),T,H,tt1587310,FALSE
47,1680822695,1783d7ef-9a54-4ea6-b5d5-132953967b7f,1,Cruzada (2005),M,H,tt0320661,FALSE
204,1680468454,17e0049d-5913-46a2-9a14-919ff844f460,2,Uma Garota Encantada (2004),T,M,tt0327679,FALSE
38,1680482318,19f37fdc-245f-4ae6-9199-ed3db44996a8,3,Mulan (1998),M,H,tt0120762,FALSE
46,1680461519,1a4eb786-97a1-4dd9-a723-53de4d2962d7,3,Os Sem-Floresta (2006),T,H,tt0327084,FALSE
8,1680460221,1aab8ad0-8694-49f0-94bd-cfce4303fa81,3,Invasão à Casa Branca (2013),T,H,tt2302755,FALSE
53,1680461678,1ac556e1-b7e3-4143-8646-7271afbb1a8f,0,Ensaio Sobre a Cegueira (2008),T,M,tt0861689,FALSE
33,1680480748,1bb39696-2c18-4802-8f5a-c14f4a93d9e8,0,Madagascar 2: A Grande Escapada (2008),T,H,tt0479952,FALSE
185,1680466902,1c4bd583-2c24-4974-8bc9-b802c0c7fbc8,1,Jack Reacher: O Último Tiro (2012),T,H,tt0790724,FALSE
70,1680461943,1cad2b8c-9e9d-4f8e-8251-3e0dbb4d9b0f,5,Monstros S.A. (2001),H,H,tt0198781,FALSE
