user_id,experiment_type,suggestion,age,movie enthusiast,trust,Occupation or profession,gender,education,marital status 
65c861b8-2144-47df-a18c-6c9991de3536,0,,26-29 anos,Concordo Pouco,Concordo Pouco,Educação,Feminino,Pós graduação incompleta,Casado(a)
602ccabb-118f-47e1-aaad-167ac1847bcc,0,,34-37 anos,Concordo Pouco,Concordo Moderadamente,Vendedora,Feminino,Ensino Médio completo,Solteiro(a)
ce7c1b76-63b5-4890-81a6-b29a9ab99432,0,,30-33 anos,"Nem Concordo, Nem Discordo",Concordo Pouco,Professora,Feminino,Ensino superior completo,Solteiro(a)
1ced4e5c-69e1-496a-99a4-106f4f536f0e,0,,26-29 anos,Concordo Moderadamente,Concordo Moderadamente,Monitora de Brinquedos Infláveis,Feminino,Ensino Médio completo,Solteiro(a)
33e39ca7-b3be-4516-b734-450d9789450a,0,,34-37 anos,Concordo Pouco,Concordo Moderadamente,Departamento financeiro,Feminino,Pós graduação completa,Casado(a)
134be51c-9495-4278-babe-763b7e8f0791,0,,26-29 anos,Discordo Pouco,"Nem Concordo, Nem Discordo",Fisioterapeuta,Feminino,Pós graduação completa,Solteiro(a)
1bb39696-2c18-4802-8f5a-c14f4a93d9e8,0,"Tenho um elogio: 
Quando classifiquei filmes que assisti, fiquei surpresa logo depois, pois as sugestões batiam com os meus interesses, filmes que eu realmente gosto. 
Confesso que eu deveria ter classificado mais filmes, eu poderia ter me impressionado com as sugestões. Eu não precisava ter ficado presa naqueles “7 filmes para classificar”
Espero fazer diferente na próxima, para receber algumas novas opções para assistir, de acordo com meus interesses hahaha.",22-25 anos,Concordo Pouco,Concordo Moderadamente,Recepcionista,Feminino,Ensino Médio completo,União Estável
cbb8548d-52c0-4b86-b39c-9b20c85e1fa0,0,,22-25 anos,Concordo Pouco,Concordo Moderadamente,Contadora;,Feminino,Ensino superior completo,Solteiro(a)
87d04ee9-abbf-4c8d-bdfd-49f72c61ca94,0,,38-40 anos,Concordo Totalmente,Concordo Totalmente,Bordadeira,Feminino,Ensino superior incompleto,Solteiro(a)
a41192e6-6d17-4d90-84d8-4f8331e85140,0,,22-25 anos,"Nem Concordo, Nem Discordo",Concordo Pouco,Auxiliar de produção,Feminino,Ensino Médio completo,Solteiro(a)
aa8c3ba8-9b6f-4d31-b643-4e1f390e5be4,0,,34-37 anos,Concordo Moderadamente,"Nem Concordo, Nem Discordo",Especialista em entrepes serviço,Feminino,Ensino superior incompleto,Casado(a)
