experiment_id,experiment_type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q16,Q17
cbb8548d-52c0-4b86-b39c-9b20c85e1fa0,0,7,6,5,7,7,7,7,7,5,4,4,7,6,7,7,7
3740bdee-8860-41c3-8d68-b6efbb96bd9f,0,5,6,4,6,7,7,6,7,5,7,5,7,6,6,7,7
f17adced-df35-453f-847b-004df119d88f,0,6,5,2,5,7,1,7,7,5,2,4,6,4,6,7,7
e22e6ca0-aca2-48e6-92a4-07203591f266,0,6,2,1,7,7,7,7,7,5,6,4,6,6,7,7,7
79b61be5-176f-41c8-ae82-45f1d5566d01,0,7,7,2,7,4,7,7,7,5,7,6,7,7,6,7,7
ce5bf1dc-15ac-41b7-a3ae-100a3bebfb6e,0,7,7,5,5,5,7,6,7,5,6,4,6,6,3,7,7
6ce629b4-931d-47a9-9da2-6b18efe476bf,0,7,7,3,7,6,7,7,7,5,7,6,7,7,7,7,7
817b4ea5-f103-4ef2-bb73-d980c057680f,0,6,4,3,4,5,6,7,5,5,7,4,5,4,4,7,7
e3e8799a-8e4d-4cf7-b92c-62888fb12824,0,6,6,5,2,2,7,7,7,5,5,2,5,4,5,6,7
f4498d49-690c-4ac6-b23e-f3d82cce3784,0,4,1,2,5,7,7,4,7,5,6,4,4,4,4,1,7
ce7c1b76-63b5-4890-81a6-b29a9ab99432,0,6,3,6,7,6,7,6,7,5,6,6,7,7,7,7,7
a0c0a6fe-ca11-4776-8565-2a1d18fd4b54,0,6,7,2,7,4,5,6,7,5,7,4,7,7,7,7,7
1bb39696-2c18-4802-8f5a-c14f4a93d9e8,0,6,7,7,7,7,7,7,7,5,7,3,6,6,7,7,7
a53806fe-4636-4541-ac44-2d3e74918a27,0,7,6,7,7,5,7,7,7,5,7,4,7,6,7,7,7
6f67727a-e79e-43b6-b74a-db81f3f36988,0,2,1,1,3,5,7,3,1,5,6,4,4,4,1,7,7
98ff98e9-0065-4479-8655-d503fc54499f,0,7,7,7,7,7,7,7,7,5,7,3,7,7,7,7,7
e086d2d1-9652-4ae0-81cc-c5c44eed79f2,0,7,7,7,7,6,7,7,7,5,5,3,7,7,7,7,7
816b95b0-51c3-4c74-bfbb-08cfe7bde3ba,0,7,7,7,7,7,7,7,7,5,6,2,7,7,7,7,7
251c18f1-0914-49db-b06c-139a31a877bb,0,7,6,5,5,6,6,7,7,5,5,5,6,6,7,7,7
586afed8-5f9c-44ec-b813-6c63505d5f6b,0,5,1,1,2,5,7,4,1,5,6,5,1,4,1,7,7
