group,user_id,Q1,Q10,Q11,Q12,Q13,Q14,Q16,Q17,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
0,070f7fb0-92fa-452d-9fe0-47684467aef2,3,6,2,5,6,6,7,7,5,2,4,7,1,7,4,5
0,075203ea-741f-4ba5-b4ab-d77ebeac4fa9,5,5,2,5,7,5,6,6,6,3,6,6,6,6,7,5
0,0fff75ce-5678-473c-963c-b9428b929a93,2,6,4,3,2,2,7,7,2,2,2,6,5,6,5,5
0,17092c37-c8c0-4bbe-a47d-4f88ec7c40ee,6,7,5,6,6,6,,,6,6,6,6,7,7,7,5
0,1930e9fa-917c-4056-b427-c59f067e4072,6,6,4,6,6,5,6,6,5,5,6,4,7,6,6,5
0,1a4e2948-e138-446d-acee-b7c304e05f8d,3,6,4,3,4,5,6,7,2,1,4,6,7,4,6,5
0,1da05f39-98bf-4e19-85fd-bf3025ccd598,7,6,4,6,6,7,7,7,6,7,6,7,7,6,7,5
0,1df2f52a-36ad-4af5-9208-c57eb396d196,5,7,6,5,5,6,7,7,5,1,3,6,6,7,7,5
0,22663324-b256-4a96-b89d-41aec1c7ae68,5,6,4,6,5,7,,,6,7,5,5,5,7,7,5
0,23bea297-43cf-40c5-89f9-cb5bda5a580e,7,6,6,7,7,7,,,6,7,7,6,7,7,7,5
0,3a041d99-673e-4792-a477-c3dff18f4bbf,7,6,5,7,7,7,7,7,6,7,5,7,7,6,7,5
0,3a31b5bc-6b9e-4462-a6a0-a39220cfb7b2,2,2,5,2,4,1,5,3,3,4,3,3,3,4,3,5
0,3cdc0d24-a8be-41af-9a51-0a72510ab95e,6,6,1,6,6,6,,,7,4,6,6,7,4,7,5
0,3ffab70b-0638-4914-9436-5c0f0d22c398,6,5,4,6,6,6,7,7,6,7,7,7,7,5,7,5
0,457e29c4-c2e1-4c09-9992-b4b1ffb89d12,4,4,2,5,4,4,4,4,5,5,5,4,5,5,5,5
0,5bc957d1-afeb-4d4d-88db-0f5249111deb,7,7,6,7,7,6,6,7,7,2,7,5,7,7,7,5
0,686fae68-5664-4bce-93b8-9a1d1f1a5a93,7,7,4,7,7,7,,,7,7,7,6,7,7,7,5
0,74061a8f-ffb1-415a-aee2-6a8bff72cb34,1,5,3,4,5,1,2,2,2,3,2,3,6,6,5,5
0,77a69935-e778-4905-8cd9-61017b468472,7,7,7,6,7,6,7,7,7,7,5,7,7,6,7,5
0,827435fc-7597-40c5-8541-6230dd55d295,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,5
0,828806a3-4f0f-4a1d-9c90-142bebbd2988,7,6,5,7,7,7,7,7,7,7,7,7,7,6,7,5
0,84c19078-8d17-4e20-b11d-5f505b5fcdad,3,5,2,5,4,4,,,3,4,2,4,1,7,4,5
0,84eeb3c8-5288-4d2e-b92a-be64f1c99214,6,3,6,6,5,3,6,4,5,3,6,6,5,7,7,5
0,9b704687-ac9d-4893-8862-65f628f6c6df,7,6,6,7,7,7,,,7,6,7,6,7,7,7,5
0,a1d55e3a-0ccf-488f-80a5-c73e9885e3a7,7,4,4,6,4,4,4,7,5,5,4,4,5,7,7,5
0,ac583f19-7628-4b0c-8c1e-325374f6c1bd,6,6,6,7,6,7,,,6,6,6,7,7,7,7,5
0,b1821d90-2108-4188-b2fe-ca5c18630f89,6,6,4,6,6,7,7,7,6,4,7,6,7,6,7,5
0,b748a547-c32e-4918-8b1c-b13cd5937957,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0,b785962a-e576-4aec-a776-79cf1753c24e,4,7,4,4,5,1,7,6,5,2,1,4,7,4,4,5
0,b9cfc9d5-5bd0-4d28-851d-d0c7630f162a,6,5,2,4,4,1,7,7,6,1,5,7,7,3,7,5
0,c5faf32c-b23e-414d-a79f-5dd9fae319b3,5,5,5,4,5,4,6,5,3,3,3,3,6,5,3,5
0,cdb6201d-ffff-474d-8656-3d254c7891d9,6,6,3,6,6,6,5,5,5,5,5,5,6,5,6,5
0,d126d40c-053b-4142-b8a3-6c62c32a6fbe,7,3,3,7,4,7,7,7,7,7,6,6,7,4,7,5
0,d7510b28-25a3-4d64-82bd-b57cd4125c27,5,6,4,6,5,4,5,5,5,4,6,3,4,5,6,5
0,efcb48eb-b211-4fec-958b-45e35d59ba02,6,2,5,6,4,7,7,7,4,7,5,5,7,7,7,5
0,f06cecb0-0cd7-4a8a-87b0-b920ea407065,5,5,6,4,4,4,,,5,6,5,4,6,6,6,5
0,f39ebb39-48c1-4829-8bb7-8fc67949b781,7,7,6,7,7,7,4,6,7,6,7,6,6,7,7,5
0,ff05365f-9edf-4629-af16-c2f92610f880,7,6,2,7,6,7,7,7,6,7,4,3,7,7,7,5
1,03ff84cc-61b3-4cd4-aed1-461eee3ea68f,6,6,4,4,4,5,5,5,4,6,4,5,6,6,6,5
1,05a3f185-4a3b-4feb-8d25-efdad9d3a370,7,2,4,5,6,7,7,6,6,4,7,5,6,7,7,5
1,095b3e7c-cba1-4f32-b9fb-8d96ffcb06b6,4,7,4,3,6,3,,,6,6,7,7,7,4,5,5
1,0c29e4d6-1ed2-4d04-81d4-a9adfa8c7a51,5,3,3,5,5,5,5,5,4,3,5,5,3,5,3,5
1,114fe894-f9bd-4b75-ae3f-e8d2fa77e569,5,3,4,6,6,5,,,6,2,6,4,7,4,4,5
1,1e7dca81-7f69-492e-b64d-01dabdd32e4d,6,4,5,6,6,6,7,7,6,4,6,7,7,4,6,5
1,204fdfb9-618c-4f6e-8f88-363949f94ff3,5,4,4,4,5,5,,,4,4,4,3,3,4,5,5
1,22060acd-c0d8-444d-aae3-bb53617af7bb,6,7,6,7,7,7,6,6,7,4,7,6,7,7,7,5
1,2267bab7-77a1-4a41-8a69-0f6ab59ff2a1,6,6,5,6,7,6,7,7,6,7,7,6,6,7,7,5
1,285b4cc8-1454-4463-a970-29f987a8eedc,6,5,6,7,7,7,7,7,7,5,7,7,5,7,7,5
1,3c726ecc-8ef1-4d6f-b02a-b253ae0e057f,5,7,6,5,6,1,7,7,5,1,4,4,7,5,7,5
1,3ef57b73-f6c3-4355-8126-b2a875c988f3,1,1,1,1,1,1,,,1,1,1,1,7,7,1,5
1,42846988-91f6-4c07-aa1b-ee065edd5950,6,7,1,7,7,7,7,7,7,6,7,7,7,7,7,5
1,4b91439e-80fb-4d28-b598-5e5500301121,6,6,5,6,6,6,7,7,6,6,6,7,7,7,7,5
1,4c96e686-35e0-4ceb-9bd7-58e5f8d327b0,5,7,7,6,7,7,7,7,6,4,4,7,7,7,5,5
1,59f2606c-25b4-4f22-9ffc-3481170c9bbc,6,6,5,6,6,7,7,7,7,5,7,6,7,7,7,5
1,71cc3981-654d-4a0f-813f-2d112ab4b2c0,5,7,6,4,6,7,7,6,5,1,7,5,7,5,5,5
1,72c71801-fffd-4b3f-bea8-0b5afaf88730,4,4,3,5,4,3,3,5,4,4,5,6,5,7,7,5
1,7828f7b0-3997-4090-b4c9-7b7d73c375ee,6,2,4,6,6,7,7,7,6,2,7,7,5,7,6,5
1,7b1f5887-f51f-4760-a993-3977d6e73d92,4,6,3,4,4,4,6,6,4,6,6,4,3,6,5,5
1,7f6bf0bc-5bcb-4c62-a348-1cf3a990dbf9,7,7,6,7,7,7,6,6,7,1,7,7,7,7,7,5
1,8dea0420-5299-4c0c-abb8-04f1f9888efa,1,1,4,2,1,1,6,6,1,5,1,6,1,3,1,5
1,90e41123-d6f6-4725-841e-da9a5571e59d,7,6,4,5,5,6,7,7,5,6,3,5,7,7,7,5
1,9ce9b015-fa76-4a00-93f8-5b2d6319b002,7,7,6,6,6,7,7,7,6,7,7,5,7,7,6,5
1,9f2db8dc-2480-42ea-af33-ecfc086861fa,6,7,6,6,6,5,6,6,6,4,7,4,7,7,6,5
1,a0a3c514-8778-42ae-a942-fdb731f65633,5,7,6,6,5,5,6,6,5,6,4,7,7,7,7,5
1,a1ef8616-4779-49db-b143-2702ad90f29e,4,6,5,7,7,6,5,7,4,5,4,4,7,7,4,5
1,c5860b43-2d9c-4d9b-a56b-bf39e1dfdc46,6,3,5,5,5,5,5,2,5,2,4,6,4,7,5,5
1,d2c20c5a-d074-4410-89de-fe5da73ebcf6,4,5,2,4,4,4,5,5,4,4,4,4,7,7,7,5
1,d32f1e62-2341-4397-a2e6-18b30f3477df,6,6,6,7,7,7,7,7,7,7,1,4,7,6,6,5
1,d77a3366-2bfb-46b1-93c0-cdbe73fd4b98,6,6,5,6,6,7,6,6,6,7,7,6,7,7,6,5
1,dfd29216-24fb-44bd-a58a-e8ad6f35254f,5,6,4,5,5,5,6,6,6,2,6,6,5,7,6,5
1,e3db7923-6dbc-4cdb-8fe9-86d69bd4f5a7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,5
1,eca8d7eb-f72e-4b1e-9ba0-aaa0213120e0,4,6,4,4,5,3,,,5,7,5,5,6,6,6,5
1,ef551fc2-31fd-4916-89de-2ed35f1f8871,7,7,7,7,6,7,5,7,7,3,7,7,7,7,7,5
1,f01349f9-ded5-4f3f-a53f-603977598671,7,6,5,7,7,7,7,6,7,6,7,7,7,7,7,5
1,f3e4cf6e-b5f5-46f8-ba9a-f48efd16e7ab,6,7,5,6,6,5,7,7,5,7,6,6,6,6,7,5
1,f5984d8a-8972-4622-ba8c-411f8791ba20,6,6,4,7,7,7,7,7,7,5,7,4,7,7,7,5
1,fb21e844-1e16-496f-bdf4-575d254d9412,6,6,2,6,7,7,7,6,6,7,7,5,7,7,7,5
2,048a0b29-7dd5-4454-be7e-09f37b670381,6,6,3,7,6,7,7,7,6,1,7,7,7,7,7,5
2,06483068-8764-4ab9-9140-f13e4904f70c,5,5,4,4,6,5,,,7,2,7,4,7,7,7,5
2,1cc65f23-3d27-4b03-8a9c-dd91c86e8350,4,2,3,3,4,1,3,3,3,4,1,4,5,5,5,5
2,20800aae-61a6-4d99-944b-6e675a6f67dc,7,6,5,7,7,6,7,7,7,3,7,7,7,7,7,5
2,2b3a04cb-7b33-4198-9dd9-697ae47b3b43,6,7,6,6,6,6,,,6,6,7,5,6,6,5,5
2,34192248-6d1d-4494-9fd5-d12c9620da52,5,7,6,6,4,7,7,7,3,5,3,5,5,7,6,5
2,4f0efcf0-10f4-438c-b9c1-74d5451779f1,3,5,3,4,4,4,,,3,4,4,5,5,5,5,5
2,4fe002dc-5999-4eea-a22b-ced35bc84075,6,7,1,6,6,6,7,7,6,1,7,4,6,6,6,5
2,505c3a98-53a6-4922-8d2f-07a3fcad73a6,6,6,6,6,6,7,6,6,6,5,5,4,6,7,7,5
2,51bed5d0-5dbc-4a97-8995-3a17a498e31c,6,4,5,7,3,7,7,7,5,5,6,5,7,7,7,5
2,548a8320-3955-4185-826d-4943d27eabb0,7,6,5,6,7,7,7,7,7,6,7,6,7,7,7,5
2,584f239c-9715-47d6-9a7a-600d0b650a1b,7,6,2,7,7,7,6,6,6,6,7,6,4,7,7,5
2,620597f8-d1cf-4aad-b244-e713639d3e8e,7,6,5,7,6,7,5,6,7,6,7,3,7,7,7,5
2,7165c80a-f033-4b42-ad03-a505aecbcbea,7,6,4,6,6,7,,,7,6,7,5,6,6,6,5
2,72c29668-22b7-495c-9f3e-a40dcd34b16f,7,7,4,7,7,7,7,7,7,4,7,4,7,7,7,5
2,77e39f91-0c70-4175-88b0-6aa6a5f057a7,4,6,4,5,6,6,7,7,6,7,4,5,7,5,6,5
2,7a42bc55-84ae-47e2-b0d4-00c3d63777ec,7,6,5,7,7,7,7,7,7,7,5,7,6,7,7,5
2,7bfe444d-5691-480d-938f-902c3c97f6c5,5,5,4,2,3,4,6,6,3,1,3,3,7,6,2,5
2,80a77ef9-4284-4da4-a16a-368b55b85c77,3,5,4,2,2,1,6,7,4,2,3,7,4,7,5,5
