id,group,user_id,experiment_question,experiment_answer
544,0,74061a8f-ffb1-415a-aee2-6a8bff72cb34,Q17,2
1227,1,c5860b43-2d9c-4d9b-a56b-bf39e1dfdc46,Q17,2
2207,2,1cc65f23-3d27-4b03-8a9c-dd91c86e8350,Q17,3
235,0,3a31b5bc-6b9e-4462-a6a0-a39220cfb7b2,Q17,3
1100,0,457e29c4-c2e1-4c09-9992-b4b1ffb89d12,Q17,4
539,0,84eeb3c8-5288-4d2e-b92a-be64f1c99214,Q17,4
1865,2,93b3f96d-e38a-4e72-91e3-4617e64ea904,Q17,4
2606,0,b748a547-c32e-4918-8b1c-b13cd5937957,Q17,4
656,1,03ff84cc-61b3-4cd4-aed1-461eee3ea68f,Q17,5
1848,1,0c29e4d6-1ed2-4d04-81d4-a9adfa8c7a51,Q17,5
1650,3,36381c3e-6fb1-4852-82b8-22bf52396fc9,Q17,5
1083,1,72c71801-fffd-4b3f-bea8-0b5afaf88730,Q17,5
2422,2,8c07e3e2-337b-4725-9e8d-79ad90bd1e53,Q17,5
703,3,9b48bf60-8c40-4c51-8bb6-5c5aa94c388b,Q17,5
2320,0,c5faf32c-b23e-414d-a79f-5dd9fae319b3,Q17,5
2386,0,cdb6201d-ffff-474d-8656-3d254c7891d9,Q17,5
1267,2,cf7a46d0-8a58-4577-84a4-bd94c22e2106,Q17,5
261,1,d2c20c5a-d074-4410-89de-fe5da73ebcf6,Q17,5
2224,0,d7510b28-25a3-4d64-82bd-b57cd4125c27,Q17,5
1794,1,05a3f185-4a3b-4feb-8d25-efdad9d3a370,Q17,6
830,0,075203ea-741f-4ba5-b4ab-d77ebeac4fa9,Q17,6
187,0,1930e9fa-917c-4056-b427-c59f067e4072,Q17,6
2589,1,22060acd-c0d8-444d-aae3-bb53617af7bb,Q17,6
355,3,4ce8d2c8-52c6-4c8b-9e06-1800c737c428,Q17,6
2026,2,505c3a98-53a6-4922-8d2f-07a3fcad73a6,Q17,6
2456,2,584f239c-9715-47d6-9a7a-600d0b650a1b,Q17,6
1797,2,620597f8-d1cf-4aad-b244-e713639d3e8e,Q17,6
2190,3,6220043c-e6d3-4d15-a6fd-b9408a0d5687,Q17,6
114,1,71cc3981-654d-4a0f-813f-2d112ab4b2c0,Q17,6
1698,1,7b1f5887-f51f-4760-a993-3977d6e73d92,Q17,6
2303,2,7bfe444d-5691-480d-938f-902c3c97f6c5,Q17,6
834,1,7f6bf0bc-5bcb-4c62-a348-1cf3a990dbf9,Q17,6
1298,0,827435fc-7597-40c5-8541-6230dd55d295,Q17,6
394,3,89dce7f3-3d1f-4fbd-8de9-040d4594b9c5,Q17,6
77,1,8dea0420-5299-4c0c-abb8-04f1f9888efa,Q17,6
2354,2,9216d40f-7c4e-4b1b-af28-68d1cde9c2fe,Q17,6
256,2,9c4fa3ac-38d0-4b63-9d0f-2e74d8453aaa,Q17,6
428,1,9f2db8dc-2480-42ea-af33-ecfc086861fa,Q17,6
836,1,a0a3c514-8778-42ae-a942-fdb731f65633,Q17,6
2043,3,a0fcfd29-70af-4cda-b831-8a720c1c53d9,Q17,6
2091,2,b6751005-2af3-4c54-937f-7df74291fbfe,Q17,6
80,0,b785962a-e576-4aec-a776-79cf1753c24e,Q17,6
2272,3,cac9f63b-50af-49e4-b028-76f2d8181dc2,Q17,6
2009,2,ccaa0ec7-3c35-4ebd-9120-83a52e7c2cf9,Q17,6
639,1,d77a3366-2bfb-46b1-93c0-cdbe73fd4b98,Q17,6
1531,1,dfd29216-24fb-44bd-a58a-e8ad6f35254f,Q17,6
1732,3,eae95567-02eb-46c4-98f8-48e9f332bc2e,Q17,6
828,1,f01349f9-ded5-4f3f-a53f-603977598671,Q17,6
1247,0,f39ebb39-48c1-4829-8bb7-8fc67949b781,Q17,6
1165,1,fb21e844-1e16-496f-bdf4-575d254d9412,Q17,6
2555,2,fba51864-6819-4c43-bc7c-91ac12ac9c88,Q17,6
2142,3,022b0727-abba-498e-b76e-ac553df35658,Q17,7
737,2,048a0b29-7dd5-4454-be7e-09f37b670381,Q17,7
970,0,070f7fb0-92fa-452d-9fe0-47684467aef2,Q17,7
973,3,076acda8-7215-4653-bdb8-e93ea5639c10,Q17,7
1916,3,0a1770d0-2aae-47ea-b4b3-89193a3728e4,Q17,7
2439,3,0db42da8-6b45-4b31-95d0-784fea5a2156,Q17,7
2173,0,0fff75ce-5678-473c-963c-b9428b929a93,Q17,7
1350,0,1a4e2948-e138-446d-acee-b7c304e05f8d,Q17,7
1777,0,1da05f39-98bf-4e19-85fd-bf3025ccd598,Q17,7
1565,0,1df2f52a-36ad-4af5-9208-c57eb396d196,Q17,7
1480,1,1e7dca81-7f69-492e-b64d-01dabdd32e4d,Q17,7
264,2,20800aae-61a6-4d99-944b-6e675a6f67dc,Q17,7
1004,1,2267bab7-77a1-4a41-8a69-0f6ab59ff2a1,Q17,7
2269,1,285b4cc8-1454-4463-a970-29f987a8eedc,Q17,7
1367,3,2af8a1a0-98bc-48bd-99bb-981c6b37899d,Q17,7
1831,3,2eeac7c9-fe86-454d-832b-32f62cb2a9dc,Q17,7
1548,2,34192248-6d1d-4494-9fd5-d12c9620da52,Q17,7
2572,3,36bb1693-580d-4d5a-9b0b-6d415d60daed,Q17,7
1715,0,3a041d99-673e-4792-a477-c3dff18f4bbf,Q17,7
854,1,3c726ecc-8ef1-4d6f-b02a-b253ae0e057f,Q17,7
1318,3,3cb39e27-0b65-400f-b96e-10c1921f31c3,Q17,7
1964,0,3ffab70b-0638-4914-9436-5c0f0d22c398,Q17,7
253,1,42846988-91f6-4c07-aa1b-ee065edd5950,Q17,7
968,3,44d11e5e-a864-49e6-bcba-e3a4ed62cf7c,Q17,7
2388,3,45b61b18-3c73-4183-aa39-58f7fceac788,Q17,7
1244,3,4a3bd85f-075d-452c-9cda-d1b68d544a02,Q17,7
1814,3,4b2e02f0-41b2-492c-aa19-82298bf8cc00,Q17,7
1148,3,4b500215-f0c9-4af4-ad4b-fd27cc0e5309,Q17,7
459,1,4b91439e-80fb-4d28-b598-5e5500301121,Q17,7
1398,1,4c96e686-35e0-4ceb-9bd7-58e5f8d327b0,Q17,7
1633,2,4fe002dc-5999-4eea-a22b-ced35bc84075,Q17,7
1899,2,51bed5d0-5dbc-4a97-8995-3a17a498e31c,Q17,7
233,3,52545f70-c005-452a-a498-733cf218a2a8,Q17,7
1497,2,548a8320-3955-4185-826d-4943d27eabb0,Q17,7
2337,1,59f2606c-25b4-4f22-9ffc-3481170c9bbc,Q17,7
259,0,5bc957d1-afeb-4d4d-88db-0f5249111deb,Q17,7
607,2,72c29668-22b7-495c-9f3e-a40dcd34b16f,Q17,7
