User,I consider myself a movie enthusiast,Group,is_CS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
05a2cbe2-0499-4943-b610-4abb89e12331,1,0,FALSE,6,6,5,7,7,7,7,7,5,4,4,6,6,7,As recomendações foram totalmente justas. 90% dos filmes que eu gosto.,7,6
1fb71738-4769-48bf-a8dd-5ab4d9ba7fed,1,0,FALSE,6,6,1,6,3,7,4,5,5,6,4,6,7,7,Quando se basei em poucas opções para recomendar se torna injusto,7,7
502f6d52-8e99-4505-9447-5eb35a651e88,1,0,FALSE,4,3,3,2,7,7,7,6,5,6,7,4,3,4,Não sei,4,7
445650d6-951c-49a8-a454-fd2a96e24bc8,1,1,FALSE,7,7,7,7,7,7,6,7,5,6,7,7,7,7,"Consideraria injustas se levassem em conta algum tipo de patrocínio que desse preferência para algumas opções de filmes, pois isso levaria os mais ""ricos"" a terem mais chances de serem assistidos.",7,7
ae6068ce-9e64-4a0a-ab9c-3423e40fdf42,1,1,FALSE,6,6,7,7,7,6,7,7,5,7,5,6,6,6,Seria injusto se eu mencionasse um gênero e o sistema me sugerisse filmes de gêneros muito diferente.,7,7
0376425f-af2b-4d4e-a185-1bfb57ed77f4,1,2,FALSE,3,2,1,1,4,3,5,1,5,3,4,3,4,5,"Percebi que a maioria das indicações fugiu um pouco dos temas que selecionei. Então a recomendação foi injusta uma vez que foi difícil escolher entre os filmes selecionados. Porém, quando essa recomendação se encaixa os gêneros escolhidos, seria perfeito.",5,5
2e04f0fb-baf9-4084-a70a-fa007ea1ba10,1,2,FALSE,6,7,3,7,6,7,7,6,5,6,5,6,7,7,É complicado mas acredito que seria injusto se fosse levado em conta popularidade em redes sociais ou bilheterias ou o que esteja na moda.,7,7
5a3ee1d8-c08d-49de-97c4-5434c97d0ff8,1,2,FALSE,5,3,6,5,6,3,7,7,5,5,3,6,5,5,"Acredito que as recomendações se tornam justas quando pesquisamos sobre um determinado assunto e automaticamente entra uma propaganda sobre um filme com tema parecido, o que nos ajuda a lembrar para assistirmos",5,6
b5baabc6-462e-47a1-ab07-2de547bc2e37,1,2,FALSE,6,6,1,6,4,7,7,7,5,6,4,7,7,7,"Levando em consideração os algoritmos dessa pesquisa achei justa, as recomendações são de filmes que gosto muito, e lendo em consideração o filme que selecinei acho q vou gostar muito. Agr falando de outros muitas vezes deixa a desejar pois os filmes que eles mostram a maioria das vezes nao tem nada haver cmg",7,7
c22a67b8-e7e8-4c9b-a431-f18f0b34e3eb,1,2,TRUE,6,6,1,5,7,5,6,6,5,4,4,5,5,1,"Acho que uma recomendação de um filme anterior de uma saga quando o sistema sabe que os próximos já foram vistos pelo usuário não seria uma recomendação justa.
 Além disso, recomendar muito do mesmo gênero ou saga que o sistema sabe que o usuário consome ou gosta mais nem sempre pode ser justo, visto que o usuário às vezes quer ver algo novo mas que ainda agrade seus gostos.",7,7
